model,horizon_min,mae_c,rmse_c,count,inference_s,rack_id
ridge,30,1.9650110006332397,2.3488354682922363,1496,0.006206800011568703,3
ridge,60,4.527431964874268,5.547155380249023,1496,0.006206800011568703,3
ridge,5,0.15484729409217834,0.203264519572258,1496,0.006206800011568703,4
ridge,10,0.3538264334201813,0.4783889353275299,1496,0.006206800011568703,4
ridge,15,0.6252861618995667,0.8539677262306213,1496,0.006206800011568703,4
ridge,30,1.1301854848861694,1.5180261135101318,1496,0.006206800011568703,4
ridge,60,4.768039226531982,5.977434158325195,1496,0.006206800011568703,4
ridge,5,0.150685116648674,0.1922626942396164,1496,0.006206800011568703,5
ridge,10,0.35088422894477844,0.4616873562335968,1496,0.006206800011568703,5
ridge,15,0.6199645400047302,0.8326842784881592,1496,0.006206800011568703,5
ridge,30,1.1016714572906494,1.502236247062683,1496,0.006206800011568703,5
ridge,60,4.710315227508545,5.946765422821045,1496,0.006206800011568703,5
ridge,5,0.15738512575626373,0.19663313031196594,1496,0.006206800011568703,6
ridge,10,0.3624773621559143,0.4716363847255707,1496,0.006206800011568703,6
ridge,15,0.6364156603813171,0.8515870571136475,1496,0.006206800011568703,6
ridge,30,1.1207048892974854,1.5393105745315552,1496,0.006206800011568703,6
ridge,60,4.640755653381348,5.871349334716797,1496,0.006206800011568703,6
ridge,5,0.1624077558517456,0.20674455165863037,1496,0.006206800011568703,7
ridge,10,0.3728657364845276,0.4945152699947357,1496,0.006206800011568703,7
ridge,15,0.6538025736808777,0.8843915462493896,1496,0.006206800011568703,7
ridge,30,1.1462904214859009,1.592065453529358,1496,0.006206800011568703,7
ridge,60,4.616007328033447,5.78631067276001,1496,0.006206800011568703,7
ridge,5,0.16993360221385956,0.22840437293052673,1496,0.006206800011568703,8
ridge,10,0.38134944438934326,0.5314962267875671,1496,0.006206800011568703,8
ridge,15,0.6594473123550415,0.9330499172210693,1496,0.006206800011568703,8
ridge,30,1.18314790725708,1.7173997163772583,1496,0.006206800011568703,8
ridge,60,4.830440521240234,5.759758472442627,1496,0.006206800011568703,8
ridge,5,0.17176957428455353,0.22826269268989563,1496,0.006206800011568703,9
ridge,10,0.38314753770828247,0.5313051342964172,1496,0.006206800011568703,9
ridge,15,0.6597155928611755,0.9329111576080322,1496,0.006206800011568703,9
ridge,30,1.1913115978240967,1.723707914352417,1496,0.006206800011568703,9
ridge,60,4.794110298156738,5.721519470214844,1496,0.006206800011568703,9
ridge,5,0.17056222259998322,0.22129009664058685,1496,0.006206800011568703,10
ridge,10,0.3878074288368225,0.521902859210968,1496,0.006206800011568703,10
ridge,15,0.6668322682380676,0.9238789677619934,1496,0.006206800011568703,10
ridge,30,1.1847217082977295,1.706611156463623,1496,0.006206800011568703,10
ridge,60,4.785712242126465,5.718428611755371,1496,0.006206800011568703,10
ridge,5,0.16909603774547577,0.22229520976543427,1496,0.006206800011568703,11
ridge,10,0.37887558341026306,0.5162031054496765,1496,0.006206800011568703,11
ridge,15,0.6571324467658997,0.9086514115333557,1496,0.006206800011568703,11
ridge,30,1.1770100593566895,1.6740766763687134,1496,0.006206800011568703,11
ridge,60,4.877664566040039,5.800621509552002,1496,0.006206800011568703,11
random_forest,5,3.052395616803554,4.1667820073333575,1496,0.025461100012762472,0
random_forest,10,3.0343699532051964,4.098680322353158,1496,0.025461100012762472,0
random_forest,15,3.0222680038289393,4.038404326469123,1496,0.025461100012762472,0
random_forest,30,2.757152935882352,3.596823502210702,1496,0.025461100012762472,0
random_forest,60,1.5614956583263886,1.9991115030555495,1496,0.025461100012762472,0
random_forest,5,3.050898076917587,4.163069810613188,1496,0.025461100012762472,1
random_forest,10,3.0352997358927336,4.09606434371578,1496,0.025461100012762472,1
random_forest,15,3.0189557086582637,4.0370811772868676,1496,0.025461100012762472,1
random_forest,30,2.7357817912409916,3.5982924259362425,1496,0.025461100012762472,1
random_forest,60,1.601186947236978,2.0616771050014036,1496,0.025461100012762472,1
random_forest,5,2.9682840528664114,4.169402362788152,1496,0.025461100012762472,2
random_forest,10,2.9498260681338375,4.100024671661541,1496,0.025461100012762472,2
random_forest,15,2.9287605954073643,4.038217424792658,1496,0.025461100012762472,2
random_forest,30,2.6581871392547587,3.595041061143634,1496,0.025461100012762472,2
random_forest,60,1.6104750980809694,2.108220266550427,1496,0.025461100012762472,2
random_forest,5,2.9412386294794204,4.176232560806042,1496,0.025461100012762472,3
random_forest,10,2.916429160830559,4.106655312766248,1496,0.025461100012762472,3
random_forest,15,2.892600586279163,4.045717426967576,1496,0.025461100012762472,3
random_forest,30,2.588871401791443,3.5966693959205425,1496,0.025461100012762472,3
random_forest,60,1.467757675710094,2.061752712012869,1496,0.025461100012762472,3
random_forest,5,0.250272154454196,0.29736276794017386,1496,0.025461100012762472,4
random_forest,10,0.3792336128475882,0.4511179272886938,1496,0.025461100012762472,4
random_forest,15,0.503621374548684,0.5996850285762515,1496,0.025461100012762472,4
random_forest,30,0.8065638598425682,0.9520458379339494,1496,0.025461100012762472,4
random_forest,60,1.55740699989154,1.8298263114641993,1496,0.025461100012762472,4
random_forest,5,0.24576245007132544,0.29227705431055895,1496,0.025461100012762472,5
